Date,Close,High,Low,Open,Volume,EMA_50,RSI_14,MACD,MACD_Signal,Ticker
2022-01-03,159.45098876953125,160.0452160568711,152.95410617919904,154.45947713795934,1035586,,,,,GGAL.BA
2022-01-04,156.2817840576172,160.56021589560362,155.68755674180875,160.0452237244039,812223,,,,,GGAL.BA
2022-01-05,153.0333251953125,159.2529088079753,152.9144845768121,156.8759997212891,990354,,,,,GGAL.BA
2022-01-06,154.57830810546875,157.2721332599827,149.11141057719036,150.57717584894797,944863,,,,,GGAL.BA
2022-01-07,156.87600708007812,157.27215861310862,153.74641238705425,154.49909788189512,632874,,,,,GGAL.BA
2022-01-10,155.9252471923828,156.83639089054577,154.10294770647147,156.83639089054577,669531,,,,,GGAL.BA
2022-01-11,158.5398712158203,159.0152458702539,154.53873773733852,154.53873773733852,951223,,,,,GGAL.BA
2022-01-12,158.22291564941406,162.30328358442074,157.66830593589827,159.8075217392221,602670,,,,,GGAL.BA
2022-01-13,157.3909912109375,160.75827906997992,156.87599908009432,158.4606051314084,792877,,,,,GGAL.BA
2022-01-14,156.63833618164062,158.4606359125524,154.1029684249572,154.5783551685297,509998,,,,,GGAL.BA
2022-01-17,155.2517852783203,157.86638784626334,154.5387173459656,156.08370592579112,101721,,,,,GGAL.BA
2022-01-18,149.70567321777344,155.80640486915928,149.15106344757223,154.49910954728597,1078179,,,,,GGAL.BA
2022-01-19,151.36952209472656,152.9145108485955,149.8245333408576,150.7356771447943,812686,,,,,GGAL.BA
2022-01-20,155.05369567871094,156.71753682523922,151.36949154086398,153.70678298797034,1181757,,,,,GGAL.BA
2022-01-21,150.06216430664062,155.29136827837834,149.74524798272196,154.8952168286886,649001,,35.41171088868658,,,GGAL.BA
2022-01-24,143.84262084960938,149.74527614205374,141.02994260997653,149.74527614205374,1658677,,27.375419329758863,,,GGAL.BA
2022-01-25,156.79678344726562,157.19293500937553,143.12955455447394,146.4968428324081,2572639,,51.873369683713825,,,GGAL.BA
2022-01-26,157.62867736816406,161.78826806370026,156.87599194593625,158.42098035779,1787062,,52.97050382203756,,,GGAL.BA
2022-01-27,158.26254272460938,160.00560711016726,154.89525458153258,158.06446695148722,857755,,53.834097302163585,,,GGAL.BA
2022-01-28,166.54208374023438,169.1170684215569,160.83750471029825,166.4232431292377,3142786,,63.31104180728307,,,GGAL.BA
2022-01-31,171.21670532226562,171.65246235706397,161.78829114677168,167.9682577654948,2123823,,67.38227145856105,,,GGAL.BA
2022-02-01,170.74130249023438,173.91051460142202,163.37288191380617,170.34515097633593,1217415,,66.573194917981,,,GGAL.BA
2022-02-02,166.77978515625,173.83127717500346,165.67056576776676,173.83127717500346,777023,,60.097520631302125,,,GGAL.BA
2022-02-03,162.263671875,166.2648048141977,161.86752033823956,166.2648048141977,662468,,53.68634882009078,,,GGAL.BA
2022-02-04,161.6298370361328,163.96712883025768,160.48099992609716,161.6298370361328,782237,,52.83443842251386,,,GGAL.BA
2022-02-07,164.32366943359375,165.4725186794708,161.5506083924028,164.60098037354754,648685,,56.02806940089378,4.067894156371892,,GGAL.BA
2022-02-08,160.7186737060547,167.5720900470875,160.12444643638418,164.00672642906434,711327,,51.046726004647134,3.6576858297759145,,GGAL.BA
2022-02-09,157.7079315185547,162.81828399990462,156.59869994558252,160.71868566007103,774237,,47.267064139774284,3.0544413443542737,,GGAL.BA
2022-02-10,158.5794677734375,161.51099904717663,156.4798692996814,157.6683240032233,554882,,48.456806573496586,2.616529709791166,,GGAL.BA
2022-02-11,156.20254516601562,164.68019767318887,155.60831786446155,156.91562518163178,1701945,,45.445362258539305,2.0540064865665784,,GGAL.BA
2022-02-14,153.98410034179688,157.2721531151718,152.1221833658085,156.04408098779123,2161419,,42.77350553485062,1.412905724711436,,GGAL.BA
2022-02-15,155.84600830078125,157.35139135710241,154.4990955269251,154.4990955269251,842311,,45.66105263718902,1.0430455835221437,,GGAL.BA
2022-02-16,161.7486572265625,162.81827114289717,154.65754759227053,157.39099060230004,1863063,,53.64632186677919,1.2122491412450245,,GGAL.BA
